id;valor_total;unit;area_util;quartos;vagas;condominio;suites;banheiros;piscina;academia;quadra;endereco;link;bairro;media_bairro;qtd_dados_bairro;media_idh;media_gini;expectativa_vida;renda_percapita;estacao_prox;linha_prox;dist;lat;lon
526;189900;5934.38;32;2;1;180;0;1;0;1;0;Rua Juá Mirim, 300 - Cidade Tiradentes, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-tiradentes-zona-leste-sao-paulo-com-garagem-32m2-venda-RS189900-id-2548078273/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;SÃO MATEUS;PRATA;6822.82368409;-23.583878700238;-46.4175480002021
734;221110;5142.09;43;2;1;250;0;1;0;0;1;Rua Luís Mateus, 100 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS221110-id-2614484926/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4682.70984080574;-23.5435347002391;-46.4254919002036
738;219990;5116.05;43;1;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-1-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2616541937/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4579.31112265086;-23.5373392002393;-46.4268225002038
753;219990;5116.05;43;2;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2610581288/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4579.31112265086;-23.5373392002393;-46.4268225002038
924;220000;5365.85;41;2;1;300;0;1;1;1;1;Rua Ioneji Matsubayashi, 10 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-41m2-venda-RS220000-id-2524380092/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3313.91870339093;-23.557799300238;-46.443523200203
927;240000;4285.71;56;2;1;220;0;1;0;0;0;Rua Antônio Bruni - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS240000-id-2616777498/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3358.48073988488;-23.5431266002387;-46.4384555002036
928;192000;3254.24;59;2;1;300;0;1;0;0;1;Rua Daniel Mongolo, 195 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-59m2-venda-RS192000-id-2574773043/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3487.99035522673;-23.5386763002389;-46.4374140002037
933;239000;5690.48;42;2;0;320;0;1;0;0;0;Rua Agrimensor Sugaya, 1133 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-42m2-venda-RS239000-id-2582153030/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4097.84644492873;-23.5592323002383;-46.435607100203
937;290000;6304.35;46;2;1;300;0;1;1;1;0;Rua Agrimensor Sugaya, 391 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-46m2-venda-RS290000-id-2580353709/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;3441.82268357484;-23.5577673002381;-46.4420511002031
951;280000;3888.89;72;3;1;372;1;1;1;0;0;Rua Agrimensor Sugaya, 1437 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-72m2-venda-RS280000-id-2596451166/;JOSE BONIFACIO;4621.48833333333;36;0.697181818181818;0.410909090909091;72.7518181818182;559.668181818182;CORINTHIANS-ITAQUERA;VERMELHA;4316.97663955294;-23.5584977002384;-46.432839900203
